FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry,lon,lat,operateur_clean,zone
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7bd,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.1909941134892459 7.776404221556221),1.1909941134892459,7.776404221556221,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7bc,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.1912716666666665 7.776378333333334),1.1912716666666665,7.776378333333334,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7bb,Plateaux,Haho,Haho 2,Asrama,Togocom,POINT (1.3775881454119485 6.9908905977439995),1.3775881454119485,6.9908905977439995,Togocom,Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7ba,Plateaux,Agou,Agou 1,Agou-Nyogbo-Dzidjole,"Moov, Togocom",POINT (0.7243983333333334 6.8794699999999995),0.7243983333333334,6.8794699999999995,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b9,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.185505 7.779035),1.185505,7.779035,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b8,Plateaux,Agou,Agou 1,Agou-Nyogbo-Dzidjole,"Moov, Togocom",POINT (0.7253050000000001 6.881301666666667),0.7253050000000001,6.881301666666667,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b7,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.4036704394613206 7.002995842211996),1.4036704394613206,7.002995842211996,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b6,Plateaux,Kloto,Kloto 2,Lavié-Apédomé,"Moov, Togocom",POINT (0.6756546687688608 7.009665383210921),0.6756546687688608,7.009665383210921,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b5,Plateaux,Anié,Anié 1,Anié,"Moov, Togocom",POINT (1.1929283333333334 7.763869999999999),1.1929283333333334,7.763869999999999,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b4,Plateaux,Haho,Haho 2,Asrama,"Moov, Togocom",POINT (1.4027466666666666 7.002658333333333),1.4027466666666666,7.002658333333333,"Moov, Togocom",Intérieur
_mview_tel_agents_mobile_money.fid--1b6ae3e2_1a0a04a3872_-7b3,Plateaux,Kloto,Kloto 2,Lavié-Apédomé,Moov,POINT (0.6764426176458889 7.010265097354715),0.6764426176458889,7.010265097354715,Moov,Intérieur
